what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1328627535176
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1328627535428
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1328627538817
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328627545179
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328627545320
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1328627557902
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1328627558120
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1328627563120
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1328627563344
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328627573454
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328627573827
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328627618998
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328627619132
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328627679721
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328627679906
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1328627701747
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1328627704506
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1328627704701
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1328627712117
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1328627714410
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328627725328
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328627725551
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1328627733682
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1328627735271
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1328627735595
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1328627736027
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1328627737452
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328627795955
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328627810164
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1328627814873
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1328627815076
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1328627863853
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1328627865506
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328627884341
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328627884475
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1328627920072
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328627946515
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328627947512
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328627952634
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1328694582077
