what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_IN",1343228706897
processors,sysinfo,,,"4",1343228706897
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1343228706897
java.runtime.version,sysinfo,,,"1.6.0_29-b11",1343228706897
java.specification.name,sysinfo,,,"Java Platform API Specification",1343228706897
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1343228706897
java.specification.version,sysinfo,,,"1.6",1343228706897
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1343228706897
java.version,sysinfo,,,"1.6.0_29",1343228706897
java.vm.info,sysinfo,,,"mixed mode, sharing",1343228706897
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1343228706897
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1343228706897
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1343228706897
java.vm.specification.version,sysinfo,,,"1.0",1343228706897
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1343228706897
java.vm.version,sysinfo,,,"20.4-b02",1343228706897
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1343228708862
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1343228708894
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1343228708894
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1343228708894
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1343228711421
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1343228724603
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1343228724618
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343228726600
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343228729080
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1343228729080
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343228736443
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1343228736490
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1343228736818
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343228752246
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343228780015
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.override.methods",1343228780592
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343228804195
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343228809031
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343228812947
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343228853913
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1343228871744
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1343228875878
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1343228875941
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343228884131
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343228884427
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343228908810
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343228923490
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343228939495
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343228939698
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1343228961101
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343228967435
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343228967638
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343228971881
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343228972099
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1343228975734
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1343228993799
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343228999727
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229001505
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229008588
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229008822
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1343229010538
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1343229011115
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1343229011131
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1343229011162
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1343229011287
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1343229011474
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1343229011645
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1343229011833
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1343229012004
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1343229012207
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1343229012503
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1343229015701
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1343229023189
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1343229027557
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1343229028712
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1343229037526
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1343229047697
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1343229047806
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1343229048040
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1343229048695
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229048899
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229052409
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229058704
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229060002
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229060253
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229060751
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229065195
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229078911
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229079179
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229079278
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229079528
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229079622
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229080670
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229082580
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229226226
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229226843
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229242734
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229243231
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229245817
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229261599
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229634082
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229636931
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229684886
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1343229695532
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229700165
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229731656
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229745100
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229757555
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229761133
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229762643
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229764765
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229767193
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229791070
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229795923
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229826517
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1343229826712
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1343229837946
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1343229841183
