what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_IN",1335000029826
processors,sysinfo,,,"4",1335000029826
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1335000029826
java.runtime.version,sysinfo,,,"1.6.0_29-b11",1335000029826
java.specification.name,sysinfo,,,"Java Platform API Specification",1335000029826
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1335000029826
java.specification.version,sysinfo,,,"1.6",1335000029826
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1335000029826
java.version,sysinfo,,,"1.6.0_29",1335000029826
java.vm.info,sysinfo,,,"mixed mode, sharing",1335000029826
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1335000029826
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1335000029826
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1335000029826
java.vm.specification.version,sysinfo,,,"1.0",1335000029826
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1335000029826
java.vm.version,sysinfo,,,"20.4-b02",1335000029826
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1335000030539
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1335000030560
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1335000030972
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1335000031014
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1335000031330
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1335000032957
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1335000033237
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1335000034591
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1335000035175
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1335000036562
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1335000037038
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1335000037102
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1335000037643
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1335000037737
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1335000037799
