what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329305013404
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329305079936
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1329305081666
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329305081865
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1329305099204
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1329305099855
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1329305100161
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1329305100390
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1329305100580
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1329305100767
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1329305100941
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1329305101295
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1329305101690
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1329305267794
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329305274068
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329305562565
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1329305564692
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329305564957
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1329305596187
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1329305602077
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1329305603816
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329305604009
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329305604048
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1329305611369
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1329305614742
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329305614910
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329305615008
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1329305618638
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1329305619850
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329305622126
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1329305624159
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329305789083
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329305789428
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1329305840694
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1329305843169
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1329305851106
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329305898323
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329306068465
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329306069873
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329306381086
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329306385238
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329306694183
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1329306699023
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329306699222
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329306744127
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329306788660
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329306792300
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329306879657
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.layout.LayoutEditor",1329306884858
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329306886348
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329306888326
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329306889661
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329306890868
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1329306893469
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1329306893626
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329306894823
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329306908418
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1329306910002
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329306913650
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329306986091
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1329306991173
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329306991354
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329307002160
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329307665868
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329307666585
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329308988014
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329308988761
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329308989654
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329308989910
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329308990040
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329308990733
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329310883432
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329310946218
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329311436961
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329311449135
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329311604394
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329311610966
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329311682173
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1329311683927
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329311690151
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1329311703811
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329311704176
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1329311704222
