what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330503723652
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330503725356
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330503730653
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330503732227
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330503735122
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330503739327
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330503740881
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1330503745357
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1330503746090
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330503751349
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330503766124
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1330503768689
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1330503771267
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330503775222
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330503775358
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330503779423
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330503779554
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1330503782433
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330503788247
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330503799015
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1330503811117
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1330503811162
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330503825122
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330503825256
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1330503828331
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330503836771
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330503836898
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330503844956
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330503845440
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1330503850603
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330503863357
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330503863557
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1330503869290
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1330503869454
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1330503869638
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1330503869894
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1330503872944
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1330503873154
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1330503873326
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1330503873497
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1330503873658
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1330503873833
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1330503873998
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1330503874324
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1330503874568
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330503879726
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1330503879963
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1330503885817
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1330503940023
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1330503940574
