what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1314124972982
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1314124972983
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1314124972983
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1314124972984
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1314124973007
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1314124973008
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1314124973009
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1314124973010
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1314124973049
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1314124973050
started,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1314124973050
started,bundle,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms",1314124973050
os,sysinfo,,,"win32",1314124973056
arch,sysinfo,,,"x86",1314124973056
ws,sysinfo,,,"win32",1314124973056
locale,sysinfo,,,"en_IN",1314124973056
processors,sysinfo,,,"4",1314124973056
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1314124973056
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1314124973056
java.specification.name,sysinfo,,,"Java Platform API Specification",1314124973056
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1314124973056
java.specification.version,sysinfo,,,"1.6",1314124973056
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1314124973056
java.version,sysinfo,,,"1.6.0_21",1314124973056
java.vm.info,sysinfo,,,"mixed mode, sharing",1314124973056
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1314124973056
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1314124973056
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1314124973056
java.vm.specification.version,sysinfo,,,"1.0",1314124973056
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1314124973056
java.vm.version,sysinfo,,,"17.0-b17",1314124973056
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1314124974097
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1314124974846
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1314124975602
